Bamboo Decor (Joinery),20 – 50 Hours,"₹1,200 – ₹6,500",Uses natural joinery (pegs and slots) instead of nails. The price reflects the time taken to treat bamboo against borers and hand-sand it.
Tripura Cotton Saree,60 – 100 Hours,"₹2,800 – ₹7,500",Woven on loin looms or pit looms within tribal households. Features the Rignai and Risaku patterns that denote specific tribal lineages.
Tribal Bead Jewelry,12 – 25 Hours,"₹800 – ₹3,500","Made from a mix of glass beads, coins, and forest seeds. These are ""identity pieces"" used in the Garia and Mamita folk dances."
Handwoven Fabric (Pachra),Varies,"₹850 – ₹2,200 / mtr","Extremely dense weave. Each tribe (Reang, Chakma, Tripura) has its own color palette, making these unique cultural identifiers."
Bamboo Balance Toys,6 – 12 Hours,"₹350 – ₹1,200","Designed for ""Kinesthetic Learning."" These toys help children develop hand-eye coordination and balance without the use of plastics."
,,,
Uttar Pradesh,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Banarasi Silk Saree,150 – 500 Hours,"₹22,000 – ₹2,50,000","A real Katan silk saree with pure silver/gold zari is an investment. In 2026, authentic wedding Banarasis start at ₹35k."
Chikankari Fabric,200 – 600 Hours,"₹4,500 – ₹55,000","Involves 36 different types of stitches. The price reflects the ""Shadow Work"" (Bakhiya) and the fineness of the muslin/georgette base."
Brass Decor (Moradabad),30 – 100 Hours,"₹1,500 – ₹12,000",Made using the Sand-Casting method. Prices follow the Brass Market rate (approx. ₹850/kg) + high artistry charges.
Zardozi Panels,80 – 250 Hours,"₹12,000 – ₹85,000","Heavy metallic embroidery. In 2026, these are used for high-end wall art and bridal wear, using real gold-wrapped thread."
Glass Bangles (Firozabad),5 – 10 Hours,"₹150 – ₹1,200 (Set)","Each bangle is hand-spun and joined over a furnace. Designer sets with ""Meena"" work or gold-foil inlay command higher prices."
,,,
Uttarakhand,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Aipan Art Frame,15 – 40 Hours,"₹450 – ₹4,500",Traditionally done with red clay (Geru) and rice paste. Modern frames use weather-proof pigments to preserve sacred geometry.
Pahadi Wool Fabric,80 – 150 Hours,"₹1,500 – ₹8,500",Made from sheep wool or Angora. Woven specifically to block high-altitude wind while remaining breathable.
Pahadi Silver Jewelry,20 – 50 Hours,"₹5,000 – ₹45,000",Features the Nath (nose ring) or Guloband (choker). Priced by silver weight (approx. ₹1.1L/kg in 2026) + cultural labor.
Handloom Cotton Saree,40 – 80 Hours,"₹1,800 – ₹5,500","Simple, sturdy cotton weaves used by hill women. They are lightweight and durable for daily village activities."
Wooden Hill Toys,10 – 20 Hours,"₹250 – ₹1,800",Carved from local woods like Pine or Oak. They often depict mountain animals or miniature versions of farm tools.
,,,
West Bengal,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Baluchari Saree,150 – 350 Hours,"₹12,000 – ₹45,000",Features scenes from the Ramayana or Mahabharata woven into the pallu. Every saree tells a unique mythological story.
Kantha Fabric,100 – 400 Hours,"₹2,500 – ₹25,000","Made using the ""Running Stitch."" Price depends on the density of the threadwork—a ""full-body"" Kantha dupatta can take 3 months."
Terracotta Decor,20 – 60 Hours,"₹450 – ₹8,500",Bankura clay art. The price reflects the slow sun-drying and natural kiln-firing process used for the famous Bankura Horse.
Shola Jewellery,10 – 30 Hours,"₹800 – ₹5,500",Carved from the core of the Shola (pith) plant. It is lighter than paper and used for bridal crowns (Topor) and deity ornaments.
Wooden Folk Toys,8 – 15 Hours,"₹150 – ₹1,500","Includes the iconic ""Bright Owls"" and ""King-Queen"" dolls. Hand-painted with vibrant natural colors in the Patachitra style."
,,,
Andaman and Nicobar Islands,,,
Product,Labor Time,Reasonable Price (Authentic),Why this price?
Shell Decor,10 – 30 Hours,"₹1,200 – ₹5,500",Includes mother-of-pearl lamps and wall hangings. Price depends on shell rarity and polishing depth.
Handloom Cotton Saree,40 – 80 Hours,"₹3,500 – ₹8,500",Woven specifically for coastal humidity; uses very high thread count for lightness and durability.
Shell Jewellery,5 – 15 Hours,"₹500 – ₹3,000","Made from naturally washed-up shells. ""Statement"" necklaces with rare cone shells command higher prices."
Woven Mats,15 – 40 Hours,"₹400 – ₹1,800",Hand-braided using local natural fibers. Valued for their cooling properties in tropical heat.
Wooden Padauk Toys,8 – 20 Hours,"₹500 – ₹3,000",Padauk wood is rare and red-hued. These toys are designed to withstand moisture and sea salt air.
,,,
Chandigarh,,,
Product,Labor Time,Reasonable Price (Authentic),Why this price?
Terracotta Decor,12 – 25 Hours,"₹800 – ₹4,200","Modernized Punjabi forms. In 2026, many pieces feature the ""Open Hand"" symbol or abstract geometric motifs."
Phulkari Fabric,50 – 200 Hours,"₹2,500 – ₹15,000","Authentic hand-embroidery. In Chandigarh, Phulkari is often applied to modern silhouettes like trench coats or stoles."
Minimal Silver Jewellery,15 – 35 Hours,"₹2,500 – ₹12,000","Sleek, contemporary designs that use less metal than traditional Punjabi sets but require more precise polishing."
Handloom Saree,40 – 100 Hours,"₹4,500 – ₹12,000",Typically blends cotton and silk. The Chandigarh aesthetic favors pastel shades and subtle borders.
Dadra and Nagar Haveli and Daman and Diu,,,
Category,Typical Labor,Reasonable Price (2026),Why this price?
Warli Art Items,12 – 40 Hours,"₹1,500 – ₹8,500","Authentic Warli is painted with rice paste on mud-plastered walls or cloth. Prices reflect the ""ritual narrative"" of the Tarpa dance or wedding circles."
Bamboo Decor,20 – 45 Hours,"₹850 – ₹4,500",Includes Chhabdi (storage baskets) and lamps. Uses mechanical joinery with bamboo slivers; high-quality pieces have zero visible glue or nails.
Tribal Jewelry,10 – 25 Hours,"₹1,200 – ₹5,500","Made by Kokna or Dhodia artisans using glass beads, seeds, and white metal. Authentic pieces are ""weight-heavy"" to signify social status."
Handloom Fabric,60 – 120 Hours,"₹1,200 – ₹3,500 / mtr","Tribal weaves are characterized by earthy tones (indigo, ochre) and high-breathability cotton, designed for the humid coastal heat."
Wooden Toys,8 – 20 Hours,"₹500 – ₹2,500","Often carved from Ardu or teak-wood. In Diu, you may find unique decorative items made from legally sourced tortoise/sea shells."
Leather Slippers,10 – 15 Hours,"₹800 – ₹2,200","A world-famous export from the region. These are hand-stitched and exceptionally durable, built for forest and rocky terrains."
Delhi,,,
Product,Labor Time,Reasonable Price (Authentic),Why this price?
Meenakari Jewellery,30 – 120 Hours,"₹15,000 – ₹2,50,000",Enamel work on gold or silver. Authentic Delhi Meenakari uses traditional furnaces and natural crushed-stone colors.
Zardozi Decor/Panels,80 – 300 Hours,"₹12,000 – ₹1,50,000",Heavy metallic embroidery (often with real gold-wrapped thread) on velvet or silk. Once only for royalty.
Mughal Silk Saree,150 – 400 Hours,"₹25,000 – ₹1,80,000",Known for dense floral Butis. Every saree is essentially a piece of historical narrative.
Traditional Wooden Toys,10 – 30 Hours,"₹650 – ₹4,500",Crafted in old city clusters. These are often miniature replicas of historical Mughal monuments or instruments.
,,,
Jammu and Kashmir,,,
Product,Labor Time,Reasonable Price (Authentic),Why this price?
Pashmina Saree,"400 – 1,000 Hours","₹85,000 – ₹3,50,000",Made from the undercoat of Changthangi goats. A pure hand-spun Pashmina saree is considered the pinnacle of luxury.
Papier-mache Decor,50 – 200 Hours,"₹1,500 – ₹45,000",Hand-painted with hair-thin brushes. Price varies by the gold-leaf content (Naqashi) and base smoothness.
Traditional Silver Set,40 – 100 Hours,"₹8,000 – ₹55,000","Features motifs like the Chinar leaf. These are heavy, oxidized pieces designed for mountain durability."
Pashmina Fabric,Varies,"₹8,000 – ₹25,000 (per mtr)","The ""soft gold."" In 2026, the price is dictated by the ""yarn count"" (fineness of the spin)."
,,,
Ladakh,,,
Product,Labor Time,Reasonable Price (Authentic),Why this price?
Thangka Art,200 – 800 Hours,"₹15,000 – ₹2,00,000",Sacred scrolls. Authentic Thangkas use 24k gold paint and require months of spiritual preparation by the artist.
Turquoise Silver Jewelry,20 – 60 Hours,"₹5,000 – ₹65,000","Features large turquoise and coral stones. In 2026, the stone quality and the ""heirloom"" weight determine the value."
Wool Fabric (Yak/Sheep),50 – 120 Hours,"₹2,500 – ₹9,500","Incredibly dense and insulating. Authentic Ladakh wool has a natural ""lanolin"" smell and is water-resistant."
Buddhist Ritual Items,Varies,"₹1,500 – ₹12,000",Includes prayer wheels and bells. Often made from bell metal or brass with hand-engraved mantras.
,,,
Lakshadweep,,,
Product,Labor Time (Approx.),Reasonable Price (Authentic),Why this price?
Coir Baskets/Mats,15 – 40 Hours,"₹450 – ₹3,500","Made from ""Golden Fiber"" (coconut husk). The labor involves retting the husk in sea water for months before weaving, making it naturally rot-resistant."
Kachi (Traditional Saree),60 – 120 Hours,"₹4,500 – ₹15,000","A rectangular unstitched wrap (often silk). The red silk Kachi with black borders is the festive standard, valued for its elegant simplicity and Islamic heritage."
Shell Jewellery,10 – 30 Hours,"₹500 – ₹5,500","Uses conchs and cowries. In 2026, authentic pieces are polished using traditional oils; if it looks like cheap plastic or lacks natural weight, it's a replica."
Coconut Shell Craft/Toys,8 – 20 Hours,"₹350 – ₹2,500","Shells are hand-carved into ladles, lamps, or toys. The price reflects the ""Mirror Finish""—achieved by sanding with local sand and polishing with coconut oil."
Lacquer Work,20 – 50 Hours,"₹1,200 – ₹6,500","Often applied to wooden items or toys. Uses natural resins to create a high-gloss, vibrant finish that is famously durable."
Fishbone Craft,40 – 100 Hours,"₹2,000 – ₹12,000",A rare art of transforming fish bones into delicate jewelry or decor. Highly labor-intensive due to the cleaning and fragile nature of the material.
Puducherry,,,
Category,Typical Labor,Reasonable Price (Authentic),Why this price?
Papier Mâché Decor,30 – 100 Hours,"₹800 – ₹12,000",Uses a centuries-old French technique. High-end pieces are finished with a marble-like smoothness and hand-painted in muted pastel or vibrant ritual tones.
Handloom Cotton Saree,40 – 90 Hours,"₹2,800 – ₹9,500","Known for their soft, high-thread-count cotton. The ""Auroville"" influence has introduced contemporary geometric borders to traditional weaves."
Minimalist Jewelry,15 – 40 Hours,"₹1,500 – ₹8,500","Often features matte-finished silver, terra-cotta, or leather. The focus is on clean lines and ""wearability"" rather than heavy gold."
Indo-French Textiles,Varies,"₹650 – ₹2,200 / mtr","A mix of organic cotton and linen. Often dyed using natural indigo or madder, reflecting the region's history as a French textile export hub."
Handcrafted Wooden Toys,12 – 30 Hours,"₹450 – ₹3,200","Typically made from Vagai or Teak. They feature a ""buffed"" smooth finish rather than the glossy lacquer seen in other states."
